DayOfWeek,DepTime,CRSDepTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,Cancelled,OriginCity,DestCity,TotalDelay,DepHour,Delayed
1,1247.0,1252,9E,-19.0,-5.0,JFK,DTW,0,"New York, NY","Detroit, MI",-24.0,12,0
1,1001.0,1015,9E,-30.0,-14.0,MSP,CLE,0,"Minneapolis, MN","Cleveland, OH",-44.0,10,0
1,1411.0,1415,9E,-20.0,-4.0,JFK,RIC,0,"New York, NY","Richmond, VA",-24.0,14,0
1,1643.0,1650,9E,-42.0,-7.0,RIC,JFK,0,"Richmond, VA","New York, NY",-49.0,16,0
1,1010.0,1015,9E,-14.0,-5.0,DTW,MKE,0,"Detroit, MI","Milwaukee, WI",-19.0,10,0
1,1403.0,1410,9E,-24.0,-7.0,JAX,LGA,0,"Jacksonville, FL","New York, NY",-31.0,14,0
1,947.0,955,9E,-13.0,-8.0,LGA,JAX,0,"New York, NY","Jacksonville, FL",-21.0,9,0
1,1135.0,1140,9E,-24.0,-5.0,CHS,LGA,0,"Charleston, SC","New York, NY",-29.0,11,0
1,810.0,815,9E,-31.0,-5.0,LGA,CHS,0,"New York, NY","Charleston, SC",-36.0,8,0
1,1248.0,1300,9E,-24.0,-12.0,ITH,JFK,0,"Ithaca/Cortland, NY","New York, NY",-36.0,13,0
1,1054.0,1104,9E,-24.0,-10.0,JFK,ITH,0,"New York, NY","Ithaca/Cortland, NY",-34.0,11,0
1,616.0,620,9E,-6.0,-4.0,ITH,JFK,0,"Ithaca/Cortland, NY","New York, NY",-10.0,6,0
1,1405.0,1415,9E,-31.0,-10.0,CLE,MSP,0,"Cleveland, OH","Minneapolis, MN",-41.0,14,0
1,1250.0,1255,9E,1.0,-5.0,GRR,DTW,0,"Grand Rapids, MI","Detroit, MI",-4.0,12,0
1,1230.0,1235,9E,-17.0,-5.0,CMH,DTW,0,"Columbus, OH","Detroit, MI",-22.0,12,0
1,1025.0,1025,9E,-12.0,0.0,DTW,CMH,0,"Detroit, MI","Columbus, OH",-12.0,10,0
